2012-01-05,04:16:21,2012-01-05,20:48:43
2012-01-06,04:12:25,2012-01-06,20:44:47
2012-01-07,04:08:29,2012-01-07,20:40:51
2012-01-08,04:04:33,2012-01-08,20:36:55
2012-01-09,04:00:37,2012-01-09,20:32:59
2012-01-10,03:56:42,2012-01-10,20:29:03
2012-01-11,03:52:46,2012-01-11,20:25:08
2012-01-12,03:48:50,2012-01-12,20:21:12
2012-01-13,03:44:54,2012-01-13,20:17:16
2012-01-14,03:40:58,2012-01-14,20:13:20
2012-01-15,03:37:02,2012-01-15,20:09:24
2012-01-16,03:33:06,2012-01-16,20:05:28
2012-01-17,03:29:10,2012-01-17,20:01:32
2012-01-18,03:25:15,2012-01-18,19:57:36
2012-01-19,03:21:19,2012-01-19,19:53:40
2012-01-20,03:17:23,2012-01-20,19:49:44
2012-01-21,03:13:27,2012-01-21,19:45:48
2012-01-22,03:09:31,2012-01-22,19:41:52
2012-01-23,03:05:35,2012-01-23,19:37:56
2012-01-24,03:01:39,2012-01-24,19:34:00
2012-01-25,02:57:44,2012-01-25,19:30:04
2012-01-26,02:53:48,2012-01-26,19:26:08
2012-01-27,02:49:52,2012-01-27,19:22:12
2012-01-28,02:45:56,2012-01-28,19:18:17
2012-01-29,02:42:00,2012-01-29,19:14:21
2012-01-30,02:38:04,2012-01-30,19:10:25
2012-01-31,02:34:08,2012-01-31,19:06:29
2012-02-01,02:30:13,2012-02-01,19:02:33
2012-02-02,02:26:17,2012-02-02,18:58:37
2012-02-03,02:22:21,2012-02-03,18:54:41
2012-02-04,02:18:25,2012-02-04,18:50:45
2012-02-05,02:14:29,2012-02-05,18:46:49
2012-02-06,02:10:33,2012-02-06,18:42:53
2012-02-07,02:06:37,2012-02-07,18:38:57
2012-02-08,02:02:42,2012-02-08,18:35:01
2012-02-09,01:58:46,2012-02-09,18:31:05
2012-02-10,01:54:50,2012-02-10,18:27:10
2012-02-11,01:50:54,2012-02-11,18:23:14
2012-02-12,01:46:58,2012-02-12,18:19:18
2012-02-13,01:43:02,2012-02-13,18:15:22
2012-02-14,01:39:06,2012-02-14,18:11:26
2012-02-15,01:35:11,2012-02-15,18:07:30
2012-02-16,01:31:15,2012-02-16,18:03:34
2012-02-17,01:27:19,2012-02-17,17:59:38
2012-02-18,01:23:23,2012-02-18,17:55:42
2012-02-19,01:19:27,2012-02-19,17:51:46
2012-02-20,01:15:31,2012-02-20,17:47:50
2012-02-21,01:11:35,2012-02-21,17:43:54
2012-02-22,01:07:40,2012-02-22,17:39:59
2012-02-23,01:03:44,2012-02-23,17:36:03
2012-02-24,00:59:48,2012-02-24,17:32:07
2012-02-25,00:55:52,2012-02-25,17:28:11
2012-02-26,00:51:56,2012-02-26,17:24:15
2012-02-27,00:48:00,2012-02-27,17:20:19
2012-02-28,00:44:04,2012-02-28,17:16:23
2012-02-29,00:40:09,2012-02-29,17:12:27
2012-03-01,00:36:13,2012-03-01,17:08:31
2012-03-02,00:32:17,2012-03-02,17:04:35
2012-03-03,00:28:21,2012-03-03,17:00:40
2012-03-04,00:24:25,2012-03-04,16:56:44
2012-03-05,00:20:29,2012-03-05,16:52:48
2012-03-06,00:16:33,2012-03-06,16:48:52
2012-03-07,00:12:38,2012-03-07,16:44:56
2012-03-08,00:08:42,2012-03-08,16:41:00
2012-03-09,00:04:46,2012-03-09,16:37:04
2012-03-10,00:00:50,2012-03-10,16:33:08
2012-03-11,00:56:54,2012-03-11,17:29:12
2012-03-12,00:52:58,2012-03-12,17:25:17
2012-03-13,00:49:02,2012-03-13,17:21:21
2012-03-14,00:45:06,2012-03-14,17:17:25
2012-03-15,00:41:11,2012-03-15,17:13:29
2012-03-16,00:37:15,2012-03-16,17:09:33
2012-03-17,00:33:19,2012-03-17,17:05:37
2012-03-18,00:29:23,2012-03-18,17:01:41
2012-03-19,00:25:27,2012-03-19,16:57:45
2012-03-20,00:21:31,2012-03-20,16:53:49
2012-03-21,00:17:35,2012-03-21,16:49:54
2012-03-22,00:13:40,2012-03-22,16:45:58
2012-03-23,00:09:44,2012-03-23,16:42:02
2012-03-24,00:05:48,2012-03-24,16:38:06
2012-03-25,00:01:52,2012-03-25,16:34:10
2012-03-25,23:57:56,2012-03-26,16:30:14
2012-03-26,23:54:00,2012-03-27,16:26:18
2012-03-27,23:50:04,2012-03-28,16:22:22
2012-03-28,23:46:08,2012-03-29,16:18:27
2012-03-29,23:42:13,2012-03-30,16:14:31
2012-03-30,23:38:17,2012-03-31,16:10:35
2012-03-31,23:34:21,2012-04-01,16:06:39
2012-04-01,23:30:25,2012-04-02,16:02:43
2012-04-02,23:26:29,2012-04-03,15:58:47
2012-04-03,23:22:33,2012-04-04,15:54:51
2012-04-04,23:18:37,2012-04-05,15:50:55
2012-04-05,23:14:41,2012-04-06,15:47:00
2012-04-06,23:10:46,2012-04-07,15:43:04
2012-04-07,23:06:50,2012-04-08,15:39:08
2012-04-08,23:02:54,2012-04-09,15:35:12
2012-04-09,22:58:58,2012-04-10,15:31:16
2012-04-10,22:55:02,2012-04-11,15:27:20
2012-04-11,22:51:06,2012-04-12,15:23:24
2012-04-12,22:47:10,2012-04-13,15:19:29
2012-04-13,22:43:14,2012-04-14,15:15:33
2012-04-14,22:39:19,2012-04-15,15:11:37
2012-04-15,22:35:23,2012-04-16,15:07:41
2012-04-16,22:31:27,2012-04-17,15:03:45
2012-04-17,22:27:31,2012-04-18,14:59:49
2012-04-18,22:23:35,2012-04-19,14:55:53
2012-04-19,22:19:39,2012-04-20,14:51:58
2012-04-20,22:15:43,2012-04-21,14:48:02
2012-04-21,22:11:47,2012-04-22,14:44:06
2012-04-22,22:07:51,2012-04-23,14:40:10
2012-04-23,22:03:56,2012-04-24,14:36:14
2012-04-24,22:00:00,2012-04-25,14:32:18
2012-04-25,21:56:04,2012-04-26,14:28:22
2012-04-26,21:52:08,2012-04-27,14:24:27
2012-04-27,21:48:12,2012-04-28,14:20:31
2012-04-28,21:44:16,2012-04-29,14:16:35
2012-04-29,21:40:20,2012-04-30,14:12:39
2012-04-30,21:36:24,2012-05-01,14:08:43
2012-05-01,21:32:28,2012-05-02,14:04:47
2012-05-02,21:28:33,2012-05-03,14:00:51
